OID_,정비유형,활용유형,위치,Latitude,Longitude,비고,F7,NEAR_FID_hospital,NEAR_DIST_hospital(m),NEAR_FID_school,NEAR_DIST_school(m),NEAR_FID_industry,NEAR_DIST_industry(m)
375,단순철거,단순철거,경상북도 영주시 안정면 안심리 77-2,36.8507553,128.5641954,#######,,190,2295.0637,364,1048.07879,13284,3153.741288
376,단순철거,단순철거,경상북도 영주시 안정면 일원리 40-11,36.8436294,128.582327,#######,,190,2174.924545,364,2445.45528,9654,1681.898626
377,단순철거,단순철거,경상북도 영주시 안정면 일원리 46-2,36.8429671,128.5811028,#######,,190,2045.306842,364,2342.088176,9654,1650.100693
378,단순철거,단순철거,경상북도 영주시 안정면 일원리 263-9,36.8478912,128.5715016,#######,,190,2067.354033,364,1511.957278,9654,2548.095821
379,단순철거,단순철거,경상북도 영주시 봉현면 노좌리 222-2,36.7956783,128.4981877,#######,,190,7059.635179,801,6267.676204,8914,6377.423553
380,정비 후 활용,주거 공간,경상북도 영주시 봉현면 노좌리,36.8040476,128.4879787,-,,190,7433.0867,801,5895.756983,14217,6028.210236
381,단순철거,단순철거,경상북도 영주시 가흥동 704-8,36.8260083,128.6080128,#######,,19,368.2548182,149,616.0945754,14346,1365.598703
382,기타,기타,경상북도 영주시 문정동 63-1,36.7970005,128.6158516,-,,89,1838.118553,729,1209.815057,15399,996.9743848
383,기타,기타,경상북도 영주시 휴천동 642-592,36.8097007,128.6183291,#######,,89,414.8502458,729,218.9458699,1503,2177.989964
384,기타,기타,경상북도 영주시 영주동 65-20,36.8296779,128.6216886,-,,83,931.7250622,462,173.327456,14346,2604.956579
385,기타,기타,경상북도 영주시 영주동 58-0,36.8300957,128.6226273,-,,83,956.8006568,263,245.9355969,14346,2694.164141
386,정비 후 활용,주거 공간,경상북도 영주시 봉현면 유전리,36.8110502,128.5075867,-,,190,5518.562685,801,4370.132568,14217,4604.771001
387,단순철거,단순철거,경상북도 영주시 단산면 동원리 620-0,36.880867,128.6033733,#######,,192,5099.870841,661,4185.577486,9654,5895.003253
388,기타,기타,경상북도 영주시 영주동 71-8,36.8291094,128.6212402,-,,83,884.492719,462,105.3518867,14346,2557.898319
389,기타,기타,경상북도 영주시 영주동 76-11,36.8291881,128.6204357,-,,83,919.8079141,462,59.11642895,14346,2487.472182
390,기타,기타,경상북도 영주시 영주동 79-4,36.8286023,128.6210144,-,,83,839.5470774,462,75.54796956,14346,2532.538934
391,정비 후 활용,주거 공간,경상북도 영주시 봉현면 오현리,36.8581851,128.5151227,-,,190,5413.329612,801,1513.508077,14180,720.2203301
392,단순철거,단순철거,경상북도 영주시 영주동 13-0,36.8311163,128.6199319,-,,192,1027.045131,263,148.3006451,14346,2476.185126
393,단순철거,단순철거,경상북도 영주시 영주동 553-7,36.8228974,128.618529,-,,83,565.9847807,149,498.3070003,14346,2340.196953
394,단순철거,단순철거,경상북도 영주시 하망동 406-15,36.8218661,128.6326438,#######,,83,711.7450619,637,131.5296626,1503,3432.422034
395,단순철거,단순철거,경상북도 영주시 안정면 내줄리 487-0,36.8321112,128.5547262,#######,,190,919.2299958,364,1421.530038,14345,2986.863212
396,단순철거,단순철거,경상북도 영주시 영주동 470-136,36.8224399,128.6193885,-,,83,480.0462569,149,587.2644269,14346,2425.063469
397,기타,기타,경상북도 상주시 성하동 6-29,36.4143593,128.163059,-,,13,668.0009834,477,425.9210865,12148,3622.598516
398,기타,기타,경상북도 문경시 문경읍 하리 29-6,36.7347142,128.1101242,-,,99,17330.08212,324,527.2936085,8386,11016.54884
